TargetNumber,timestamp,Latitude,Longitude
912345678,2024-01-15 10:30:00,38.7223,-9.1393
912345678,2024-01-15 11:45:00,38.7250,-9.1400
912345678,2024-01-15 12:30:00,38.7280,-9.1450
912345678,2024-01-15 13:15:00,38.7300,-9.1500
987654321,2024-01-15 09:00:00,38.7100,-9.1500
987654321,2024-01-15 10:30:00,38.7150,-9.1550
987654321,2024-01-15 12:00:00,38.7200,-9.1600
987654321,2024-01-15 14:30:00,38.7250,-9.1650
911111111,2024-01-16 08:00:00,38.7000,-9.1300
911111111,2024-01-16 09:30:00,38.7050,-9.1350
911111111,2024-01-16 11:00:00,38.7100,-9.1400
922222222,2024-01-16 10:00:00,38.7400,-9.1200
922222222,2024-01-16 11:30:00,38.7450,-9.1250
922222222,2024-01-16 13:00:00,38.7500,-9.1300
933333333,2024-01-17 07:30:00,38.7150,-9.1450
933333333,2024-01-17 09:00:00,38.7180,-9.1480
933333333,2024-01-17 10:30:00,38.7210,-9.1510
933333333,2024-01-17 12:00:00,38.7240,-9.1540

